images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
[],,,,,tweet,"Feb 14, 2024 · 5:16 PM UTC","1,670",239,68,308,"Be the first to hear from the Prime Minister.

Sign up now to get DMs from the PM. 

whatsapp.com/channel/0029VaJ…",https://nitter.poast.org/Conservatives/status/1757816171351462079#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGOMi_K_WgAEklWI.jpg'],Conservatives retweeted,,David Cameron,@David_Cameron,retweet,"May 22, 2024 · 8:18 PM UTC","1,931",103,116,607,"Uncertain times demand a clear plan.

That's what @RishiSunak delivers.",https://nitter.poast.org/David_Cameron/status/1793375801767076032#m,Conservatives,Conservatives,31781,6757,619757,1726,David Cameron,@David_Cameron,
[],Conservatives retweeted,,James Cleverly🇬🇧,@JamesCleverly,retweet,"May 22, 2024 · 10:40 PM UTC",788,71,33,235,Looks like Sir Keir has dropped the idea of stopping the boats already…,https://nitter.poast.org/JamesCleverly/status/1793411591972782183#m,Conservatives,Conservatives,31781,6757,619757,1726,James Cleverly🇬🇧,@JamesCleverly,
[],,,,,tweet,"May 22, 2024 · 7:07 PM UTC",397,71,19,206,WATCH: Rishi Sunak speaking live at his first election rally. nitter.poast.org/i/broadcasts/1zq…,https://nitter.poast.org/Conservatives/status/1793358038893826182#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGONEEv9XAAEuHlR.jpg'],,,,,tweet,"May 22, 2024 · 6:46 PM UTC",476,50,38,243,WATCH @RishiSunak's first election rally live at 8pm here on X.,https://nitter.poast.org/Conservatives/status/1793352691986444551#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],Conservatives retweeted,,Rishi Sunak,@RishiSunak,retweet,"May 22, 2024 · 5:58 PM UTC","5,869",930,"1,208","5,462",This is why I’ve just called the election.,https://nitter.poast.org/RishiSunak/status/1793340772390932961#m,Conservatives,Conservatives,31781,6757,619757,1726,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOMwOcBW8AA9Z1h.jpg'],Conservatives retweeted,,Rishi Sunak,@RishiSunak,retweet,"May 22, 2024 · 5:19 PM UTC","2,718",318,249,"1,927","We must not put our hard earned economic stability at risk.

We must restore pride and confidence in our country.

With a clear plan and bold action we will deliver a secure future for you, your family and our United Kingdom.",https://nitter.poast.org/RishiSunak/status/1793330979932631175#m,Conservatives,Conservatives,31781,6757,619757,1726,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOMkMv7W4AArUow.jpg'],,,,,tweet,"May 22, 2024 · 4:23 PM UTC","1,731",228,105,547,"We are proud of what we have achieved together, the bold action we have taken, and we're confident about what we can do in the future.",https://nitter.poast.org/Conservatives/status/1793316884772745478#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGOMi_K_WgAEklWI.jpg'],Conservatives retweeted,,Rishi Sunak,@RishiSunak,retweet,"May 22, 2024 · 4:18 PM UTC","3,894",572,440,"2,460","These uncertain times call for a clear plan and bold action to chart a course to a secure future. 

You must choose in this election who has that plan and who is prepared to take that bold action to secure a better future for our country and our children.",https://nitter.poast.org/RishiSunak/status/1793315552661794830#m,Conservatives,Conservatives,31781,6757,619757,1726,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"May 22, 2024 · 11:56 AM UTC","1,286",108,78,292,"Things have turned a corner this year. 

▪️Inflation is now 2.3%.
▪️Wages have risen for ten consecutive months.
▪️The economy had the joint fastest growth in the G7.

Our plan is working. That’s why we must stick with it to deliver a brighter future for everyone ✅",https://nitter.poast.org/Conservatives/status/1793249518663671966#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGOLIoxVWcAAKnr3.jpg'],,,,,tweet,"May 22, 2024 · 10:11 AM UTC",539,60,36,177,"We got the big calls right on Ukraine and Hong Kong but we know that overall legal migration is too high.

New data today shows visa applications down by 25% compared to last year.

We are sticking with the plan to deliver the largest-ever cut to legal migration ✅",https://nitter.poast.org/Conservatives/status/1793223133756878900#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
