images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
[],,,,,tweet,"May 22, 2024 · 7:11 PM UTC","1,604",162,84,716,"Now is the moment for Britain to choose its future. 

Watch my first election rally live below.

 nitter.poast.org/i/broadcasts/1zq…",https://nitter.poast.org/RishiSunak/status/1793358994674999437#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"May 22, 2024 · 5:58 PM UTC","5,846",927,"1,206","5,437",This is why I’ve just called the election.,https://nitter.poast.org/RishiSunak/status/1793340772390932961#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOMwOcBW8AA9Z1h.jpg'],,,,,tweet,"May 22, 2024 · 5:19 PM UTC","2,703",317,248,"1,919","We must not put our hard earned economic stability at risk.

We must restore pride and confidence in our country.

With a clear plan and bold action we will deliver a secure future for you, your family and our United Kingdom.",https://nitter.poast.org/RishiSunak/status/1793330979932631175#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOMi_K_WgAEklWI.jpg'],,,,,tweet,"May 22, 2024 · 4:18 PM UTC","3,887",571,439,"2,456","These uncertain times call for a clear plan and bold action to chart a course to a secure future. 

You must choose in this election who has that plan and who is prepared to take that bold action to secure a better future for our country and our children.",https://nitter.poast.org/RishiSunak/status/1793315552661794830#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"May 22, 2024 · 1:13 PM UTC",273,187,16,"1,283","What an inspiration.

Great to have you back @cmackinlay 👏",https://nitter.poast.org/RishiSunak/status/1793269064866955299#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"May 22, 2024 · 7:59 AM UTC","2,070",211,163,"1,184",Today marks a major moment for our economy.,https://nitter.poast.org/RishiSunak/status/1793189935752634611#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOKWM0PW0AA1oG1.jpg'],,,,,tweet,"May 22, 2024 · 6:13 AM UTC","3,764",540,503,"3,400",Inflation is back to where it should be.,https://nitter.poast.org/RishiSunak/status/1793163376522104899#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,@10DowningStreet,quote,"May 21, 2024 · 2:03 PM UTC",864,93,41,606,"This is a big moment.

Advancements like these prove the UK’s status as a world-leader in AI.",https://nitter.poast.org/RishiSunak/status/1792919093617561746#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,"We're rolling out groundbreaking AI to help treat cancer patients.

Backed by £15.5 million in funding, this cutting-edge tech can locate where in the body to direct radiotherapy 2.5 times quicker than doctors alone.

But that's not the only way we’re harnessing AI's potential 🧵"
['https://nitter.poast.org/pic/orig/media%2FGOGt0bIWUAAWZGb.jpg'],,,,,tweet,"May 21, 2024 · 1:23 PM UTC","2,847",225,235,"1,174","Britain is leading the way on tackling illegal migration.

Don’t take my word for it, that’s what the Austrian Chancellor told me earlier today.",https://nitter.poast.org/RishiSunak/status/1792909186344321533#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FGOFhQ1DXUAAATHA.jpg'],,,,,tweet,"May 21, 2024 · 7:44 AM UTC","1,463",188,116,"1,088","We cannot tackle illegal migration alone.

I’m in Vienna with @karlnehammer who shares my urgency to end the vile trade of people smuggling.",https://nitter.poast.org/RishiSunak/status/1792823831742345689#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
